Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Kings,Two contestants battle it out to face Bobby Flay. The victor faces Bobby Flay with their own signature dish. Who can beat the Flayster?,60,"Drama, Sci-Fi","Ian McShane, Christopher Egan, Susanna Thompson, Allison Miller",8.2,8227,2009
Scissor Seven,"In a small French mountain town where everyone knows each other, the dead begin to inexplicably return as if their death never happened. Forcing the townsfolk to confront their difficult past as they seek to understand this phenomenon.",42,"Animation, Action","Jas Patrick, Ronny Chieng, Jake Green, Aleks Le",8.2,1435,2018– 
Beat Bobby Flay,Mad scientist Okabe struggles to recover from past failure and tests a new artificial intelligence,60,Reality-TV,"Bobby Flay, Alex Guarnaschelli, Scott Conant, Anne Burrell",6.3,846,2013– 
Les Revenants,"COUPLES THERAPY unlocks a hidden world: other people's relationships. Far from reality-show caricatures, this is true documentary filmmaking that brings viewers into authentic and visceral experience of weekly therapy with four couples.",75,"Drama, Fantasy, Horror","Anne Consigny, Clotilde Hesme, Frédéric Pierrot, Céline Sallette",8.1,19707,2012–2015
Steins;Gate 0,A struggle of Hispanic people against the Roman pressure.,25,"Animation, Drama, Mystery","J. Michael Tatum, Monica Rial, Tyson Rinehart, Cherami Leigh",8.4,6248,2018
Couples Therapy,"James, a young grifter, attempts to prey upon Pastor Byron Brown, who turns out to be far more dangerous than he suspects. A cast of Coen brothers-type characters complicate their plans to outplay each other.",60,Reality-TV,"Orna Guralnik, Virginia Goldner, Kirkland Vaughans",7.8,464,2019–2021
"Hispania, la leyenda","Magazine covers, parties, exclusive photo-shoots, behind-the-scenes confessions and more. Meet the latest Playmates of Playboy like never before.",42,History,"Roberto Enríquez, Juan José Ballesta, Nathalie Poza, Jesús Olmedo",6.3,519,2010–2012
"Perpetual Grace, LTD","Intending to aid her family, a beautiful young girl accepts the job in a prominent model casting agency, only to discover their girls are also hired for something else.",24,"Comedy, Crime, Drama","Ben Kingsley, Jimmi Simpson, Luis Guzmán, Damon Herriman",7.6,2242,2019
Playmate Playback,"US police chief Bill Hixon lands in Lincolnshire with his 14 year-old daughter Kelsey, hoping to flee their recent painful past. New community forces Bill to question everything about himself.",30,"Documentary, Reality-TV","Amanda Cerny, Raquel Pomplun, Kennedy Summers, Emily Agnes",6.0,45,2015–2017
Verdades Secretas,"Irish comedian Graham Norton hosts his very own chat show, which includes chatting to A-list celebrities, the very famous Red Chair game, live music, lots of jokes and fun from Graham and the celebrities themselves.",24,"Drama, Romance","Reynaldo Gianecchini, Camila Queiroz, Marieta Severo, Rodrigo Lombardi",8.3,693,2015–2021
Wild Bill,"A boy named Itsuka Shido meets a spirit girl who has been rejected by a devastated world. The girl, who Shido names Tohka, happens to have wiped out much of humanity 30 years ago, and now ...                ",44,"Crime, Drama, Mystery","Rob Lowe, Bronwyn James, Tony Pitts, Aloreia Spencer",6.8,2132,2019
The Graham Norton Show,A group of amateur drivers from all over the world compete in an illegal night-time street race.,60,"Comedy, Music, Talk-Show","Graham Norton, Ricky Gervais, Judi Dench, Jack Whitehall",8.4,10592,2007– 
Date a Live,"""60 Days In"" offers an unprecedented look at life behind bars at Indiana's Clark County Jail. Seven ordinary people volunteer to live among its general population for 60 days, without fellow inmates or staff knowing their secret.",30,"Animation, Action, Comedy","Nobunaga Shimazaki, Marina Inoue, Misuzu Togashi, Ayana Taketatsu",7.0,2334,2013– 
Curfew,"A six-part series about life at the Bar, the dilemmas and problems that modern day barristers have to face, and what it means to become a silk.",nan,"Action, Crime, Drama","Phoebe Fox, Andi Osho, Billy Zane, Aimee-Ffion Edwards",6.1,1604,2019– 
60 Days In,A satirical drama that closely looks at the materialistic desires of the upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives.,nan,Reality-TV,"Dion Shepherd Jr., Zachary Holland Baker, Monalisa Johnson, Tami Ferraiuolo",7.7,2216,2016– 
Silk,"An italian version of the acclaimed and innovative Norwegian youth series Skam, which follows a group of teenagers in their everyday life of school, love and leisure time.",nan,Drama,"Maxine Peake, Rupert Penry-Jones, Neil Stuke, Theo Barklem-Biggs",8.0,4453,2011–2014
SKY Castle,"An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content.",nan,"Drama, Mystery","Jung-ah Yum, Tae-ran Lee, Yun Se-ah, Na-ra Oh",8.7,1955,2018–2019
SKAM Italia,"A radio show host invites listeners to call in and relate their own personal story of ""the best sex you ever had"".",nan,"Drama, Romance","Ludovica Martino, Beatrice Bruschi, Greta Ragusa, Federico Cesari",7.5,1650,2018– 
A Haunting,A New York City homicide Detective cracks case after case while raising wild twin boys and locking horns with her less than helpful Police Detective ex-husband.,nan,"Documentary, Horror, Mystery","Anthony D. Call, Andrew Ragan, Kelley Davis, Terry Jernigan",8.0,2896,2005–2019
The Best Sex Ever,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,nan,"Adventure, Drama, Fantasy","Angela Nicholas, Syren, Dru Berrymore, Jezebelle Bond",5.8,194,2002–2003
The Mysteries of Laura,Spin-off from the British hit TV series ,nan,"Comedy, Crime, Mystery","Debra Messing, Laz Alonso, Josh Lucas, Janina Gavankar",6.8,8880,2014–2016
Kôkaku kidôtai: Stand Alone Complex,"British comedian Richard Ayoade and a celebrity guest, usually from the comedy world, spend 48 hours in a popular city to discover the must see tourist attractions.",nan,"Animation, Action, Crime","Shirô Saitô, Mary Elizabeth McGlynn, William Frederick Knight, Richard Epcar",8.5,18130,2002–2005
The Dumping Ground,"Identical twins meet as teenagers after Sutton was adopted by a rich couple and Emma grew up a foster kid. Sutton investigates their bio mom etc., while Emma takes her place/identity.",nan,Family,"Kia Pegg, Sarah Rayson, Stacy Liu, Miles Butler-Hughton",6.9,504,2013– 
Travel Man: 48 Hours in...,"A Long Island psychotherapist's personal life unravels when she finds her husband cheating. Diving fully into her work, Dr. Dani Santino soon finds herself as the most sought-after ...                ",nan,"Documentary, Adventure, Comedy","Richard Ayoade, Joe Lycett, Greg Davies, Noel Fielding",8.3,2014,2015– 
The Lying Game,"Maddy Smith and her family are the only wolfbloods in Stoneybridge, which is a well-kept secret. They lead a peaceful life until Rhydian, a wolfblood, arrives and triggers chaos.",nan,"Drama, Mystery","Alexandra Chando, Andy Buckley, Allie Gonino, Alice Greczyn",7.3,18119,2011–2013
Necessary Roughness,,nan,"Comedy, Drama, Romance","Callie Thorne, Scott Cohen, Mehcad Brooks, Marc Blucas",7.0,7130,2011–2013
Wolfblood,,nan,"Family, Fantasy","Gabrielle Green, Leona Vaughan, Shorelle Hepkin, Mark Fleischmann",7.6,3273,2012–2017
The Accident,A Welsh community devastated by tragedy is forced to confront difficult truths amid the search for justice.,188,Drama,"Sarah Lancashire, Sidse Babett Knudsen, Joanna Scanlan, Genevieve Barr",6.2,1475,2019
The War at Home,Parents struggle to raise their teens.,30,"Comedy, Romance","Michael Rapaport, Anita Barone, Kaylee DeFer, Kyle Sullivan",7.5,8678,2005–2007
Mr. Pickles,"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.",15,"Animation, Comedy, Horror","Dave Stewart, Kaitlyn Robrock, Will Carsola, Jay Johnston",7.4,7192,2013–2019
X Company,"Set in the thrilling and dangerous world of WWII, follows the stories of five highly skilled young recruits, torn from their ordinary lives to train as agents in an ultra-secret facility.",44,"Drama, War","Evelyne Brochu, Jack Laskey, Warren Brown, Hugh Dillon",7.7,3005,2015–2017
La catedral del mar,Based upon Ildefonso Falcones novel.,55,"Drama, History","Jordi Aguilar, Aitor Luna, Pablo Derqui, Ginés García Millán",7.5,3439,2018
GCB,"Amanda Vaughn is a recently widowed mother of two who, to get a fresh start, moves back to the affluent Dallas neighborhood where she grew up to find herself in the whirling midst of salacious gossip, Botox, and fraud.",430,"Comedy, Drama","Leslie Bibb, Jennifer Aspen, Marisol Nichols, Miriam Shor",7.0,8221,2012
The Last O.G.,An ex-con is shocked to see just how much the world has changed when he is released from prison for good behavior after a 15-year stint and returns to his newly gentrified Brooklyn neighborhood.,30,Comedy,"Tracy Morgan, Tiffany Haddish, Ryan Gaul, Dante Hoagland",6.9,2952,2018– 
Beyond,A young man wakes up from a 12 year coma to discover new abilities that come to propel him into the middle of a dangerous conspiracy.,43,"Drama, Fantasy, Mystery","Burkely Duffield, Dilan Gwyn, Jonathan Whitesell, Michael McGrady",7.0,6915,I 2016–2018
Kingdom,"In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom.",43,"Animation, Action, Drama","Adam Fedyk, Masakazu Morita, Jun Fukuyama, Akio Kato",8.1,820,2012– 
David Makes Man,A young prodigy living in Florida looks for a way out of his poor neighborhood.,24,Drama,"Akili McDowell, Alana Arenas, Travis Coles, Cayden K. Williams",7.3,396,2019– 
Tokyo Ghoul: Root A,"After being tortured and transformed, Kaneki leaves Anteku and joins Aogiri tree in order to protect his friends. While he tries to get stronger, Touka decides to enroll in college while they all try to recover from Kaneki leaving.",24,"Animation, Action, Drama","Brina Palencia, Michelle Rojas, Austin Tindle, Morgan Laure",7.6,12036,2015
Hyouka,"Houtarou is usually quite apathetic, however when his sister forces him to join the classic literature club at Kamiyama High School, his worldview begins to change. Once there, he discovers...                ",30,"Animation, Comedy, Drama","Yûichi Nakamura, Satomi Sato, Felecia Angelle, Tia Lynn Ballard",7.8,3619,2012
Champions,Vince is forced to re-think his laid-back lifestyle following an unexpected visit.,30,Comedy,"Anders Holm, Fortune Feimster, Andy Favreau, Josie Totah",6.1,3287,2018
Corporate,"A dark, edgy look at life as a Junior-Executive-in-Training at your average, soulless multi-national corporation.",15,Comedy,"Matt Ingebretson, Jake Weisman, Adam Lustick, Anne Dudek",7.7,2939,2018–2020
Thundercats,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.",30,"Animation, Action, Adventure","Will Friedle, Matthew Mercer, Kevin Michael Richardson, Emmanuelle Chriqui",7.8,6486,2011–2012
The Birch,A teenager seeks out the help of a monster who lives in the woods. Based on the short film 'The Birch'.,60,"Drama, Fantasy, Horror","Xaria Dotson, Brady Romberg, Dempsey Bryk, Quincy Dunn-Baker",6.7,461,2019– 
Happily Divorced,"In their 18 years of marriage, a middle-aged couple tries to move on with their lives after the husband confesses he's gay. Based on ",54,"Comedy, Romance","Fran Drescher, John Michael Higgins, Tichina Arnold, Valente Rodriguez",6.8,2866,2011–2013
Rebelde,Six teenagers with different lives and personalities attend a prominent private school with only one thing in common: their vocation and passion for music.,43,"Comedy, Drama, Family","Estefania Villarreal, Anahí, Dulce María, Alfonso Herrera",7.2,5057,2004–2006
Velvet Colección,Barcelona 1967. Ana Rivera returns from New York to launch her last dream: to make the leap from the exclusive business of haute couture in Madrid to a boutique in Barcelona with aspirations to become a global franchise.,44,"Comedy, Drama, Romance","Marta Hazas, Asier Etxeandia, Adrián Lastra, Diego Martín",7.2,1184,2017–2019
Awake,"After a car accident takes the life of a family member, a police detective lives two alternating parallel lives, one with his wife and one with his son. Is one of his ""realities"" merely a dream?",29,"Drama, Fantasy, Mystery","Jason Isaacs, Laura Allen, Steve Harris, Dylan Minnette",7.9,20469,2012
CollegeHumor Originals,"Funny sketches with crude, adult, and undeniably hilarious comedy.",60,Comedy,"Mike Trapp, ""Grant OBrien"", Katie Marovitch, Zac Oyama",7.6,1295,2006– 
Jägarna,Erik returns to the northernmost of Sweden after a lifetime with Stockholm police save ,62,"Drama, Thriller","Rolf Lassgård, Johan Marenius Nordahl, Annika Nordin, Caroline Johansson Kuhmunen",7.4,1609,2018– 
Mock the Week,A comedic look at current events.,60,"Comedy, Game-Show","Dara O Briain, Hugh Dennis, Andy Parsons, Ed Byrne",7.8,7647,2005– 
24,This thriller series focuses on an anti-terrorist unit agent named Jai Singh Rathod who has twenty-four hours to save the country from a major terrorist attack.,43,"Action, Adventure, Crime","Anil Kapoor, Neil Bhoopalam, Raaghavv Chanana, Anita Raj",8.2,2736,2013–2016
Summer Camp Island,"Two best friends go to a magic sleep-away camp, where nothing is what it seems.",60,"Animation, Short, Adventure","Oona Laurence, Julia Pott, Elliott Smith, Sam Lavagnino",7.4,962,2018– 
Dolly Parton's Heartstrings,8 of singer/songwriter Dolly Parton's most famous songs are brought to life in 8 different episodes.,30,"Comedy, Drama, Music","Dolly Parton, Delta Burke, Julianne Hough, Melissa Leo",7.6,1869,2019– 
Ellen: The Ellen DeGeneres Show,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents.",60,"Comedy, Talk-Show","Ellen DeGeneres, Stephen Boss, Andy Lassner, Kym Douglas",6.8,15871,2003–2021
Take Two,A private investigator in Los Angeles reluctantly teams up with a former star of a hit cop show.,22,"Comedy, Crime, Drama","Rachel Bilson, Eddie Cibrian, Xavier de Guzman, Alice Lee",7.3,5049,II 2018
Running Wild with Bear Grylls,"On his birthday, Thom Payne gets the gift of insignificance and also a new boss. He suspects his ED pills are interfering with his anti-depressants, leaving him with neither happiness nor.....                ",123,"Adventure, Comedy, Reality-TV","Bear Grylls, Channing Tatum, Bobby Bones, Tom Arnold",7.7,2442,2014– 
Happyish,Follows the residents of one English village across the 20th century and their turbulent lives.,60,"Comedy, Drama","Kathryn Hahn, Steve Coogan, Sawyer Shipman, Bradley Whitford",7.3,2848,2015
The Village,"This show, a sketch comedy, has a decidedly female bent. It is written by a primarily female staff, and performed by an all female primary cast (with both female and male supporting players...                ",45,Drama,"David Ryall, Maxine Peake, John Simm, Charlie Murphy",7.7,1906,2013– 
Baroness Von Sketch Show,"A defamed ex-cop, who is struggling to get back his son, is put on undercover duty within the biggest mafia in Istanbul.",23,Comedy,"Carolyn Taylor, Meredith MacNeill, Aurora Browne, Jennifer Whalen",6.2,1326,2016–2021
Poyraz Karayel,Former soldier and policeman Jackson Brodie becomes a private investigator.,44,"Action, Drama","Ilker Kaleli, Burçin Terzioglu, Musa Uzunlar, Ali Il",8.1,8525,2015–2017
Case Histories,A reality TV show that follows crews mining the gold placer deposits of the Yukon Territory.,60,"Crime, Drama, Mystery","Jason Isaacs, Amanda Abbington, Zawe Ashton, Millie Innes",7.9,3430,2011–2013
Gold Rush: Alaska,"Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with ...                ",25,Reality-TV,"Paul Christie, Parker Schnabel, Tony Beets, Chris Doumitt",7.3,4343,2010– 
Arifureta Shokugyou de Sekai Saikyou,A student at the Police Academy is tasked to study a cold case: the murder of a pregnant woman on a Swedish beach 25 years ago.,60,"Animation, Action, Adventure","Tia Lynn Ballard, Matt Shipman, AmaLee, Patrick Seitz",6.9,1452,2019– 
Springfloden,"""Vampirina"" tells the story of a young vampire girl who faces the joys and trials of being the new kid in town when her family moves from Transylvania to Pennsylvania.",24,"Crime, Drama, Mystery","Julia Ragnarsson, Kjell Bergqvist, Cecilia Nilsson, Dar Salim",7.5,3693,2016– 
Jimmy Kimmel Live!,Follows teams of cops and psychiatric professionals who make up the Psych Crimes and Crisis unit.,88,"Comedy, Music, Talk-Show","Jimmy Kimmel, Cleto and the Cletones, Guillermo Rodriguez, Cleto Escobedo III",6.5,14739,2003– 
Vampirina,"A young boy, who happens to be a genius, lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents.",11,"Animation, Short, Comedy","Isabella Crovetti, Jordan Alexa Davis, Lauren Graham, Wanda Sykes",6.7,679,2017– 
Cracked,"Set a decade after the U.S.S Voyager's return to Earth, a rag-tag crew of renegades and outcasts must covertly work with Admiral Chekov and Tuvok to stop forces threatening the Federation from outside, and within.",30,"Crime, Drama, Mystery","David Sutcliffe, ""Luisa dOliveira"", Dayo Ade, Karen LeBlanc",7.0,1779,2013–2014
"The Adventures of Jimmy Neutron, Boy Genius","""Doc McStuffins"" is an imaginative animated series about Doc McStuffins, a young girl who aspires to be a doctor like her mom and communicates with and heals broken toys and stuffed animals.",43,"Animation, Adventure, Comedy","Debi Derryberry, Jeffrey Garcia, Rob Paulsen, Carolyn Lawrence",6.7,18591,2002–2006
Star Trek: Renegades,A boy and his beloved imaginary friend are able to stay together at an orphanage of sorts for imaginary friends that children have outgrown to be adopted by new children.,25,"Action, Adventure, Sci-Fi","Walter Koenig, Adrienne Wilkinson, Manu Intiraymi, Corin Nemec",4.9,3437,2015–2017
Doc McStuffins,The series tells the story of a warrior from one of the poorest and most dangerous neighborhoods in Mexico City. Its beauty and nobility contrast with the gray and desolate environment ...                ,75,"Animation, Family, Fantasy","Lara Jill Miller, Loretta Devine, Robbie Rist, Jess Harnell",6.6,1979,2012–2020
Foster's Home for Imaginary Friends,"A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating ...                ",42,"Animation, Adventure, Comedy","Keith Ferguson, Grey Griffin, Candi Milo, Tom Kenny",7.6,19965,2004–2009
Rosario Tijeras,"The inhabitants of the block of relatively luxurious flats. Follow the problems faced by those living together in Spain, the Spanish property bubble, and the hardships faced by young people...                ",43,"Action, Crime, Drama","Bárbara de Regil, Sebastian Martínez, Harold Azuara, José María de Tavira",6.2,213,2016– 
Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,"Three women are gathered at a cabin with their three colleague husbands when they watch the men blow up in the boat just going out fishing. A police man investigates the widows, who will have to try to explain what happened.",60,"Animation, Action, Crime","Megumi Ogata, Yôko Hikasa, Chiwa Saitô, Nobuyo Ôyama",6.9,1953,2013
La que se avecina,A woman with the ability to speak to the dead helps detectives solve murder cases.,120,Comedy,"Ricardo Arroyo, Pablo Chiapella, José Luis Gil, Nacho Guerreros",7.4,3296,2007– 
Black Widows,Explores a world of gangs made up of those sworn to protect and shed light on corrupt and secret societies. And what if the Policemen use the criminals to arrest others.,50,"Crime, Drama, Mystery","Cecilia Forss, Beate Bille, Synnøve Macody Lund, Kyrre Hellum",6.5,645,2016– 
The InBetween,Two different young men coming together from different places stand side by side and fight against a conspiracy. They go after a past that doesn't leave behind. They bring to account of old...                ,24,"Crime, Drama, Fantasy","Harriet Dyer, Justin Cornwell, Cindy Luna, Anne-Marie Johnson",7.1,3662,2019
The Oath,About adolescent stress and parental suffering: Four completely different families struggle with the education of their children.,60,"Crime, Drama","Ryan Kwanten, Katrina Law, Cory Hardrict, Joseph Julian Soria",6.5,1662,2018– 
Halka,"The story takes place in an alternate reality where a small percentage of children manifest superhuman abilities upon reaching puberty. A focus is placed on Yuu Otosaka, a high school boy who awakens the ability to temporarily possess others, which brings him to the attention of Nao Tomori, the student council president of a school founded as a haven for children with such abilities.",43,"Action, Crime, Drama","Serkan Çayoglu, Hande Erçel, Kaan Yildirim, Hazal Subasi",8.8,3939,2019– 
Oogappels,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,30,Drama,"Bracha van Doesburgh, Ramsey Nasr, Malou Gorter, Jeroen Spitzenberger",8.0,404,2019– 
Charlotte,"The Villalobos Rescue Center is the largest pit bull rescue in the USA, now located in New Orleans, LA. This show shows the interaction of the dog and man; About pets and people that no one wants.",90,"Animation, Drama, Family","Koki Uchiyama, Ayane Sakura, Momo Asakura, Takahiro Mizushima",7.6,4878,2015–2016
Taineun Jiokida,A group of divorced friends try to get back to the single life.,42,"Crime, Horror, Mystery","Si-wan Yim, Lee Dong-Wook, Rae-Hyung Cha, Lee Jeong-eun",7.9,2234,2019
Pit Bulls and Parolees,A collection of police murder investigations each time taking place in a different French city and region.,23,"Drama, Reality-TV","Tia Torres, Mariah Torres, Tania Torres, Kanani",8.0,1234,2009– 
The Exes,"When a sleepy 1960s Welsh mining town's only doctor dies, the only replacement the union representative could find arrives, straight from India. To everyone's surprise, he's better educated...                ",60,Comedy,"Donald Faison, Wayne Knight, David Alan Basche, Kelly Stables",6.7,5118,2011–2015
Meurtres à...,"The Slaton sisters averaging over a thousand pounds, have always depended on each other for support. Now in their 30s, Amy wants to have children, but cannot due to her weight, while her elder sister Tammy is near bedridden.",11,"Crime, Drama, Mystery","Vanessa Liautey, David Faure, Franck Beckmann, Frédéric Diefenthal",6.3,144,2013– 
The Indian Doctor,"Imagine a night in with 4 girls. Now imagine doing that for 4 years. In a building full of girls that is a Girl's Hostel. Live the Dushmani, the Dosti, the Pyaar, the Bhasad.",45,Drama,"Sanjeev Bhaskar, Ayesha Dharker, Jacob Oakley, Mali Harries",7.9,890,2010–2013
1000-lb Sisters,"A look at the professional and personal lives of some of the military's brightest legal minds in the courtroom, where each attorney is trained as a prosecutor, a defense lawyer, an investigator - and a Marine.",43,Reality-TV,"Amy Slaton, Tammy Slaton, Michael Halterman, Chris Combs",5.5,412,2020– 
Girls Hostel,The daily adventures of penguins living in New York's Central Park Zoo.,24,"Comedy, Drama","Srishti Shrivastava, Parul Gulati, Ahsaas Channa, Simran Natekar",8.2,3453,2018– 
The Code,"They are trained to be smarter, tactically superior and technologically advantaged - Melbourne's answer for a cutting edge trend in policing worldwide.",51,Drama,"Anna Wood, Ato Essandoh, Phillipa Soo, Raffi Barsoumian",6.3,1760,2019
The Penguins of Madagascar,Lt. Joe Kenda solves cases.,24,"Animation, Short, Action","John DiMaggio, Tom McGrath, Jeff Bennett, James Patrick Stuart",7.6,16369,2008–2015
Rush,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.",24,"Crime, Drama, Mystery","Rodger Corser, Callan Mulvey, Nicole da Silva, Ashley Zukerman",7.6,1627,2008–2011
Homicide Hunter: Lt. Joe Kenda,"The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.",60,"Documentary, Crime","Josh Casaubon, Joe Kenda, Carl Marino, Sandra Mann",8.8,2744,2011– 
Ask the StoryBots,"When an alien from the planet Deviluke runs away and goes into hiding on earth,she meets a human named Yuuki Rito. Watch as she wants to get married to him while he wants no part of it",60,"Animation, Adventure, Comedy","Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill",8.4,722,2016–2019
Love/Hate,An HD and enhanced remaster of Dragon Ball Z.,56,"Crime, Drama","Tom Vaughan-Lawlor, Killian Scott, Aoibhinn McGinnity, Charlie Murphy",8.5,6278,2010–2014
Toraburu,Phil travels around the world sampling food and tradition with friends and a sense of humor.,120,"Animation, Action, Comedy","Akeno Watanabe, Haruka Tomatsu, Sayuri Yahagi, Satomi Arai",6.6,960,2008–2010
Dragon Ball Kai: Doragon bôru kai,"The story of those who pursue passion, those who fly at the expense of burning, and those who stand up against life in pain.",44,"Animation, Action, Adventure","Masako Nozawa, Jôji Yanami, Sean Schemmel, Richard Ian Cox",8.2,20354,2009–2015
Somebody Feed Phil,"Three European countries. Three post-communist cities, Odessa, Warsaw and Prague. Three young women murdered. Within days, their bodies - or parts of them - are found. Their throats have ...                ",22,Documentary,"Phil Rosenthal, Monica Horan, Judy Gold, Julia Reed",8.2,3794,2018– 
Fi,"Eight-year-old Öykü is an exceptional little girl, who unlike her peers is very empathetic and perceptive of the world around her. When her aunt, who has been her caregiver since birth, ...                ",70,"Drama, Romance","Ozan Güven, Serenay Sarikaya, Mehmet Günsür, Berrak Tüzünataç",7.8,9607,2017–2018
Zasada przyjemnosci,A government employee discovers that the cause of the tensions between the two political parties is a race of extraterrestrial insects eating the brains of the politicians.,90,Crime,"Malgorzata Buczkowska, Karel Roden, Sergey Strelnikov, Robert Gonera",6.7,280,2019– 
Kizim,A perfect couple struggles under a secret longing each has for someone else.,24,Drama,"Bugra Gülsoy, Beren Gokyildiz, Leyla Lydia Tugutlu, Serhat Teoman",6.4,719,2018–2019
BrainDead,"Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.",90,"Comedy, Drama, Horror","Mary Elizabeth Winstead, Danny Pino, Aaron Tveit, Tony Shalhoub",8.1,10405,2016
Kuzu no honkai,Ex-cop Jack Taylor earns a reputation for being a tough-as-nails private investigator who's not afraid to take on vigilantes or track down killers.,24,"Animation, Drama, Romance","Chika Anzai, Shintarô Asanuma, Greg Cote, Maggie Flecknoe",6.9,1366,I 2017
Ibeon Saengeun Cheoeumira,"In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations.",23,"Comedy, Drama, Romance","Lee Min-ki, Jung So-Min, Esom, Byeong-eun Park",8.1,3010,2017
Jack Taylor,"Reyhan was born in the countryside; is a modest, young and beautiful girl who grew up in traditional style. Reyhan remains an orphan after her mother's death, and her life changes at an unexpected point.",41,"Crime, Drama","Iain Glen, Nora-Jane Noone, Killian Scott, Paraic Breathnach",7.5,1853,I 2010
Generator Rex,"After her mother's death, Tohru Honda finds herself living with the Sohma family consisting of three cousins: Yuki, the 'prince charming' of their high school, Kyo the hot headed, short ...                ",28,"Animation, Action, Adventure","Daryl Sabara, Grey Griffin, John DiMaggio, Wally Kurth",7.6,3813,2010–2013
Yemin,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.",30,Drama,"Gokberk Demirci, Can Verel, Ceyda Olguner, Cansin Mina Gür",6.7,761,2019– 
Fruits Basket,"Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.",35,"Animation, Comedy, Drama","Eric Vale, Laura Bailey, Yui Horie, Aya Hisakawa",7.9,5359,2001
Clarence,"Follows the chronicles of Piyush, a typical first jobber & the people around him.",60,"Animation, Short, Adventure","Spencer Rothbell, Katie Crown, Tom Kenny, Sean Giambrone",6.6,7491,2013–2018
The Late Show with Stephen Colbert,"Kids compete in challenges in this game show, hosted by an animated dog.",41,"Comedy, Talk-Show","Stephen Colbert, Jon Batiste, Stay Human, Jen Spyra",7.2,12373,2015– 
Cubicles,"Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier.",50,"Comedy, Drama","Abhishek Chauhan, Nidhi Bisht, Arnav Bhasin, Badri Chavan",8.3,5385,2019– 
FETCH! with Ruff Ruffman,"Kate is a survivor of the Rwandan genocide whose adoptive mother, an international lawyer, faces a case that will shake their lives.",60,"Animation, Comedy, Family","Jim Conroy, Rosario Corso, Marc Prophet, Madi Bader",7.5,731,2006–2010
Abhay,A famed magician uses his skills of deception to assist the FBI in solving high-profile cases.,44,"Crime, Thriller","Kunal Khemu, Ratnesh Mani, Sandeepa Dhar, Elnaaz Norouzi",8.0,6572,2019– 
Black Earth Rising,"High-profile architect Alexandra faces her worst nightmare when she gets a call from local cop Conrado to identify her husband Oscar's body, found on a pier in the beautiful Albufera ...                ",60,Thriller,"John Goodman, Michaela Coel, Noma Dumezweni, Lucian Msamati",7.5,4203,2018
Deception,A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit.,60,"Crime, Drama, Mystery","Jack Cutmore-Scott, Ilfenesh Hadera, Lenora Crichlow, Justin Chon",7.5,8305,2018
El embarcadero,"With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine.",60,"Drama, Mystery","Álvaro Morte, Verónica Sánchez, Irene Arcos, Roberto Enríquez",7.2,2801,2019–2020
Teoneol,"In 1327, an enlightened friar and his young apprentice investigate a series of mysterious deaths at an abbey risking the wrath of a powerful Inquisitor. Television adaptation of Umberto Eco's novel 'The Name of the Rose'.",59,"Crime, Fantasy, Thriller","Choi Jin-Hyuk, Hie-bong Jo, Hyun-min Yoon, Kang Ki-Young",8.3,2077,2017
